id,title,url,rate,tag1,tag2,tag3,tag4,tag5,difficulty,budget,people,prep_time,cooking_time,total_time,title_en,tag1_en,tag2_en,tag3_en,difficulty_en,budget_en
1,Pot-au-feu facile,https://www.marmiton.org/recettes/recette_pot-au-feu-facile_44578.aspx,4.6,plat principal,plat unique,pot-au-feu,,,facile,moyen,4,30,2,32,Easy Pot-au-feu,main course,single dish,stew,easy,AVERAGE
2,Boeuf bourguignon : la vraie recette,https://www.marmiton.org/recettes/recette_boeuf-bourguignon_18889.aspx,4.8,plat principal,viande,viande en sauce,,,facile,moyen,4,1,4,5,Beef Bourguignon: The Real Recipe,main course,meat,meat in sauce,easy,AVERAGE
3,Moules marinières,https://www.marmiton.org/recettes/recette_moules-marinieres_13214.aspx,4.4,plat principal,fruits de mer,moules,,,très facile,bon marché,4,45,15,60,Mussels marinière,main course,seafood,mussels,very easy,cheap
4,Courgettes farcies,https://www.marmiton.org/recettes/recette_courgettes-farcies_11192.aspx,4.7,plat principal,plat unique,légumes farcis,,,moyenne,moyen,4,20,50,70,Stuffed zucchini,main course,single dish,stuffed vegetables,average,AVERAGE
5,Filet mignon de porc à la moutarde,https://www.marmiton.org/recettes/recette_filet-mignon-de-porc-a-la-moutarde_36310.aspx,4.9,plat principal,viande,viande rôtie,,,très facile,moyen,4,18,47,65,Pork tenderloin with mustard,main course,meat,roast meat,very easy,AVERAGE
6,Lasagnes à la bolognaise,https://www.marmiton.org/recettes/recette_lasagnes-a-la-bolognaise_18215.aspx,4.9,plat principal,"pâtes, riz, semoule",lasagne,,,moyenne,moyen,4,30,135,165,Lasagna Bolognese,main course,"pasta, rice, semolina",lasagna,average,AVERAGE
7,Aubergines au four,https://www.marmiton.org/recettes/recette_aubergines-au-four_13572.aspx,4.3,plat principal,plat végétarien,aubergine,,,très facile,bon marché,4,5,35,40,Baked eggplants,main course,vegetarian dish,eggplant,very easy,cheap
8,Couscous poulet et merguez facile,https://www.marmiton.org/recettes/recette_couscous-poulet-et-merguez-facile_17751.aspx,4.8,plat principal,plat unique,couscous,,,très facile,bon marché,4,30,35,65,Easy chicken and merguez couscous,main course,single dish,couscous,very easy,cheap
9,Pâtes à la carbonara  à la française,https://www.marmiton.org/recettes/recette_pates-a-la-carbonara_80453.aspx,4.5,plat principal,"pâtes, riz, semoule",pâtes en sauce,,,très facile,bon marché,4,10,10,20,French-style carbonara pasta,main course,"pasta, rice, semolina",pasta in sauce,very easy,cheap
10,Poulet au four simple et savoureux,https://www.marmiton.org/recettes/recette_poulet-au-four-version-light_218020.aspx,4.8,plat principal,viande,viande rôtie,,,facile,moyen,4,15,140,155,Simple and tasty baked chicken,main course,meat,roast meat,easy,AVERAGE
11,Délicieuse marinade pour poulet,https://www.marmiton.org/recettes/recette_delicieuse-marinade-pour-poulet_345860.aspx,4.4,plat principal,viande,,,,très facile,bon marché,4,5,30,35,Delicious marinade for chicken,main course,meat,,very easy,cheap
12,Cuisses de poulet au four,https://www.marmiton.org/recettes/recette_cuisses-de-poulet-au-four_67408.aspx,4.7,plat principal,viande,viande rôtie,,,très facile,bon marché,4,10,35,45,Baked Chicken Thighs,main course,meat,roast meat,very easy,cheap
13,Rougail saucisse,https://www.marmiton.org/recettes/recette_rougail-saucisse_22851.aspx,4.7,plat principal,plat unique,rougail,,,très facile,bon marché,4,20,20,40,Sausage Rougail,main course,single dish,rougail,very easy,cheap
14,Tomates farcies facile,https://www.marmiton.org/recettes/recette_tomates-farcies-facile_63622.aspx,4.6,plat principal,plat unique,légumes farcis,,,très facile,bon marché,4,20,1,21,Easy Stuffed Tomatoes,main course,single dish,stuffed vegetables,very easy,cheap
15,Rôti de boeuf au four tout simple,https://www.marmiton.org/recettes/recette_roti-de-boeuf-au-four-tout-simple_342546.aspx,4.3,plat principal,viande,viande rôtie,,,facile,bon marché,4,5,25,30,Simple Oven Roast Beef,main course,meat,roast meat,easy,cheap
16,La pâte à galettes de blé noir traditionnelle,https://www.marmiton.org/recettes/recette_la-pate-a-galettes-de-ble-noir-traditionnelle_35351.aspx,4.4,plat principal,plat unique,"galette de sarrasin, crêpe salée",,,facile,bon marché,4,20,0,20,Traditional buckwheat pancake dough,main course,single dish,"buckwheat pancake, savory crepe",easy,cheap
17,Andouillette sauce moutarde,https://www.marmiton.org/recettes/recette_andouillette-sauce-moutarde_19759.aspx,4.7,plat principal,viande,andouilette,,,facile,bon marché,4,5,30,35,Andouillette with mustard sauce,main course,meat,andouilette,easy,cheap
18,Gigot d'agneau : la recette traditionnelle,https://www.marmiton.org/recettes/recette_gigot-d-agneau-a-l-ail-et-au-romarin_18696.aspx,4.8,plat principal,viande,viande rôtie,,,très facile,moyen,4,10,45,55,Leg of lamb: the traditional recipe,main course,meat,roast meat,very easy,AVERAGE
19,Croque-monsieur,https://www.marmiton.org/recettes/recette_croque-monsieur_19208.aspx,4.6,plat principal,plat unique,croque-monsieur,,,très facile,bon marché,4,10,5,15,Croque-monsieur,main course,single dish,croque-monsieur,very easy,cheap
20,Chili con carne facile,https://www.marmiton.org/recettes/recette_chili-con-carne-facile_15415.aspx,4.8,plat principal,plat unique,chili con carne et sin carne,,,très facile,bon marché,4,10,25,35,Easy Chili Con Carne,main course,single dish,chili with carne and without carne,very easy,cheap
2566,Béchamel,https://www.marmiton.org/recettes/recette_bechamel_23880.aspx,4.9,sauce salée,béchamel,,,,très facile,bon marché,4,0,15,15,Bechamel,salty sauce,bechamel,,very easy,cheap
21,Pavés de saumon au four facile,https://www.marmiton.org/recettes/recette_paves-de-saumon-au-four-facile_80135.aspx,4.7,plat principal,poisson,,,,très facile,moyen,4,5,25,30,Easy Baked Salmon Steaks,main course,fish,,very easy,AVERAGE
